Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,LOB%,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2019,Aaron Nola,PHI,202.1,3.869851535,2.8625,0.231274639,1.265238816,0.295049505,0.76788831,4.034437771,0.207619047,0.497142857,0.295238095,0.058064516,0.174193548,3.823532897,0.10984394,0.26877934,0.09389671,0.17488263,4.138366126,-0.164586235,7.471751688,0.06390977,0.39473684,,,,,,0.3349975,0.60421369,0.44237695,0.62593145,0.85678705,0.75169607,0.39885954,0.20558223,0.31542617,Aaron Nola,16149,605400
2021,Joe Musgrove,SDP,176.1,3.266540737,3.7037037,0.214826021,1.111531223,0.273348519,0.79582876,3.731470812,0.234135667,0.435448577,0.330415754,0.079470198,0.145695364,3.620423631,0.12712747,0.27322404,0.07377049,0.19945355,3.695719553,-0.464930075,7.617527464,0.07375271,0.38611714,,99.83242321,124.6386356,99.71340063,103.183606,0.34140436,0.62673187,0.46300799,0.55319149,0.85175553,0.72543136,0.42618965,0.18825981,0.31538729,Joe Musgrove,12970,605397
2020,Gerrit Cole,NYY,73,2.835616142,5.52941176,0.197026022,0.958904009,0.242236025,0.85877863,3.890049379,0.195402298,0.373563218,0.431034482,0.08,0.186666666,3.378010093,0.15295096,0.32638889,0.05902778,0.26736111,3.20873346,-1.054433237,10.40666875,0.09142857,0.44571429,,143.6436709,134.7254364,105.0768911,113.4702411,0.35207101,0.67931689,0.4954281,0.53361345,0.79608939,0.69127517,0.43807149,0.16209476,0.31504572,Gerrit Cole,13125,543037
2021,Shane McClanahan,TBR,123.1,3.429729871,3.81081081,0.251046025,1.272973025,0.328173375,0.78909613,3.307871966,0.25,0.454819277,0.295180722,0.051020408,0.142857142,3.234148896,0.14790174,0.27272727,0.07156673,0.20116054,3.623849682,0.121857905,9.791364572,0.10682493,0.45400593,,87.7416771,111.9686154,101.2405641,105.8642564,0.34693878,0.68721461,0.49948823,0.48663102,0.83887043,0.70389344,0.44831116,0.16683726,0.314739,Shane McClanahan,21483,663556
2023,Shane McClanahan,TBR,115,3.286956522,2.95121951,0.221962617,1.182608696,0.273972603,0.8173913,3.915909925,0.193442622,0.436065573,0.370491803,0.079646017,0.132743362,3.844855561,0.15642151,0.25799574,0.08742004,0.17057569,4.056837024,-0.628953403,10.52766756,0.09771987,0.42345277,,110.7950197,112.0167582,101.5148901,105.8848901,0.34979839,0.70325694,0.5107084,0.51585014,0.79931389,0.69354839,0.45524437,0.15806806,0.31448957,Shane McClanahan,21483,663556
2021,Lance McCullers Jr.,HOU,162.1,3.16016437,2.43421053,0.204013378,1.219712564,0.2725,0.78503688,3.521163497,0.165450121,0.564476885,0.270072992,0.054054054,0.117117117,3.68652816,0.11585366,0.27046784,0.11111111,0.15935673,4.015203181,-0.360999127,,0.05326877,0.40435835,,,116.6157743,97.13984908,101.844125,0.28021978,0.60695652,0.41499283,0.49673203,0.86819484,0.72082973,0.41248207,0.19799139,0.31384505,Lance McCullers Jr.,14120,621121
2022,Shane Bieber,CLE,200,2.88,5.5,0.228419655,1.04,0.286778399,0.75757576,2.872431002,0.203636363,0.481818181,0.314545454,0.063583815,0.104046242,2.982950536,0.13843478,0.25031606,0.04551201,0.20480405,3.21291196,0.007568998,10.19096137,0.07207207,0.42882883,,66.96131313,94.96193459,102.7063674,101.3948852,0.34798535,0.69037995,0.49530435,0.47894737,0.88173302,0.72050562,0.43026087,0.17530435,0.31373913,Shane Bieber,19427,669456
2019,Ross Stripling,LAD,70,3.6,5.07142857,0.243445693,1.128571429,0.295698925,0.75757576,3.685438047,0.175257731,0.536082474,0.288659793,0.178571428,0.178571428,3.419659896,0.10348071,0.25177305,0.04964539,0.20212766,3.692133992,-0.085438047,10.36235417,0.07142857,0.36734694,,,,,,0.32209106,0.6212766,0.45437441,0.62827225,0.86643836,0.77225673,0.44214487,0.20978363,0.31326435,Ross Stripling,13273,548389
2023,Tarik Skubal,DET,80.1,2.800830053,7.28571429,0.197952218,0.896265617,0.288770053,0.67723343,1.997778869,0.170212765,0.515957446,0.313829787,0.152542372,0.06779661,2.564763388,0.14930271,0.32903226,0.04516129,0.28387097,2.76957262,0.803051184,9.326043116,0.04188482,0.39790576,,93.81187215,97.2810189,105.8930156,106.5380444,0.38253012,0.6967509,0.52545156,0.5511811,0.8238342,0.715625,0.45484401,0.16324856,0.31255127,Tarik Skubal,22267,669373
2021,Freddy Peralta,MIL,142.1,2.845433357,3.56603774,0.162376238,0.948477786,0.225165563,0.78322785,3.141931077,0.2,0.329032258,0.470967741,0.171232876,0.09589041,3.67305665,0.14415979,0.33216169,0.09314587,0.23901582,3.412568059,-0.29649772,9.390545465,0.05696203,0.30696203,,108.2679859,108.7369894,98.48311152,102.3710877,0.29350261,0.67219917,0.45201911,0.51145038,0.78395062,0.68107589,0.41858446,0.16804168,0.31220148,Freddy Peralta,18679,642547
2021,Aaron Nola,PHI,180.2,4.632841589,5.71794872,0.235378031,1.129151355,0.307522124,0.66817667,3.369296126,0.189873417,0.405063291,0.405063291,0.109375,0.135416666,3.373489088,0.12790306,0.29773031,0.05206943,0.24566088,3.262529329,1.263545463,8.090988928,0.07112971,0.37238494,,97.98624101,109.0312016,106.5476944,105.9054191,0.3414345,0.68068536,0.48805116,0.61631944,0.8180778,0.73793103,0.43217772,0.18377651,0.31167957,Aaron Nola,16149,605400
2019,Stephen Strasburg,WSN,209,3.315789232,4.48214286,0.207741935,1.038277436,0.274,0.76525336,3.252286985,0.203094777,0.510638297,0.286266924,0.074324324,0.162162162,3.168088285,0.13445626,0.29845422,0.0665874,0.23186683,3.486928344,0.063502247,8.743391826,0.05343511,0.33778626,,,,,,0.37177616,0.62829195,0.47251773,0.57329843,0.84550898,0.71544715,0.3927305,0.17671395,0.31117021,Stephen Strasburg,10131,544931
2019,Zac Gallen,- - -,80,2.8125,2.66666667,0.210884354,1.225,0.284210526,0.83700441,3.614009476,0.237373737,0.388888888,0.373737373,0.027027027,0.108108108,4.154024917,0.12833453,0.28742515,0.10778443,0.17964072,4.242033403,-0.801509476,10.0779811,0.04040404,0.35858586,,,,,,0.35315534,0.61634103,0.45998558,0.57044674,0.84726225,0.72100313,0.40591204,0.18240807,0.31074261,Zac Gallen,19291,668678
2019,Yu Darvish,CHC,178.2,3.979477839,4.08928571,0.210843373,1.097014988,0.266169154,0.77736318,4.176696098,0.208816705,0.45475638,0.336426914,0.034482758,0.227586206,3.389950826,0.13377809,0.31326949,0.07660739,0.23666211,3.554513926,-0.197218259,9.48197223,0.07586207,0.37471264,,,,,,0.33754741,0.64691943,0.47507022,0.55992509,0.82173382,0.71840355,0.44452247,0.17661517,0.31039326,Yu Darvish,13074,506433
